ID,Business_Name,Email,Website
HC_001,"Acupuncture and herbs for wellness Robert Dorsett, L.Ac. Harmony Healing Center in Alameda",info@harmonyhealingcenter.com,https://www.harmonyhealingcenter.com
HC_002,All Users | Wellness.com,drpatra@ghtortho.com,https://www.wellness.com/users
HC_003,American Holistic Health Association,mail@ahha.org,https://www.ahha.org
HC_004,American Massage Therapy Association (AMTA) | The Leading Nonprofit for Massage,info@amtamassage.org,https://www.amtamassage.org
HC_005,American Massage Therapy Association (AMTA) | The Leading Nonprofit for Massage,chapterrelations@amtamassage.org,https://www.amtamassage.org
HC_006,Aniparo Healing Arts - Shamanic Therapy,algirdas@aniparohealingarts.com,https://www.reikisanctuary.com
HC_007,Astrology Software & Web Site of Hank Friedman,stars@soulhealing.com,https://www.soulhealing.com
HC_008,Ayurvedic Healing,info@ayurvedichealing.net,https://www.ayurvedichealing.net
HC_009,Benefits for Supporting Members | AMTA,supporting@amtamassage.org,https://www.amtamassage.org/member-benefits/supporting-members/
HC_010,Chakra Cafe,chakranyc@gmail.com,https://www.chakrany.com
HC_011,Christine - Professional Psychic Reader,croach2511@gmail.com,https://www.psychic.org/profile.asp?member=100005
HC_012,Crystal Academy of Advanced Healing Arts • Home,thecrystalacademy@gmail.com,https://webcrystalacademy.com
HC_013,"Crystal Healing course, Crystal Healer, Hibiscus Moon Crystal Academy",support@hibiscusmoon.com,https://hibiscusmoon.com
HC_014,Crystal Healing | Creative-Healing LLC,creativehealingllc@protonmail.com,https://creative-healing.com
HC_015,Cursos de Reiki y Chakras En Malaga y Online | Soul Reiki,info@soulreiki.org,https://www.soulreiki.org
HC_016,Directory | Yoga Alliance,info@yogaalliance.org,https://r.yogaalliance.org/Directory
HC_017,Discounts for ABMP Members | Associated Bodywork & Massage Professionals,info@thespamart.com,https://www.abmp.com/discounts
HC_018,"Energy Arts | Learn Tai Chi, Qigong and Meditation",support@energyarts.com,https://www.energyarts.com
HC_019,Energy Healer NYC (Energy & Chakra Healing Service) Linda Darin,reply@lindadarin.com,https://lindadarin.com
HC_020,"Energy Healing Center-Reiki Healing, Reconnective Healing, The

Reconnection ®",gabriele@energyhealingcenter.org,https://energyhealingcenter.org
HC_021,"Healing By Soul - Energy Healing, Mediumship, & Holistic Services | Brooklyn & V",debrasoulhealer@gmail.com,https://www.healingbysoul.com
HC_022,"Healing By Soul - Energy Healing, Mediumship, & Holistic Services | Brooklyn & V",soulhealer@gmail.com,https://www.healingbysoul.com
HC_023,Healing Music Instruments for Sale | Healing Sounds,contact@healing-sounds.com,https://healing-sounds.com
HC_024,Healing Therapy - Mental Health Services,info@healingtherapycenter.com,https://healingtherapycenter.com
HC_025,Healing Therapy by Diana Lee | Sarasota | Bradenton,info@healing-therapy.org,https://healing-therapy.org
HC_026,Holistic Health Directory - Find a Holistic Practitioner or Coach,reactivate@gehassociation.org,https://holistichealthlink.com
HC_027,Holistic Health Directory - Find a Holistic Practitioner or Coach,info@holistichealthlink.com,https://holistichealthlink.com
HC_028,Home,info@reikialliance.com,https://www.reikialliance.com
HC_029,Home,reiki@reikienergy.com,https://www.reikienergy.com
HC_030,Home,rhealingcenter@gmail.com,https://www.radianthealingcenter.com
HC_031,Home - Healing Practice | Bradford / Leeds,uzma@healing-practice.co.uk,https://healing-practice.com
HC_032,Home - Light on Yoga - Rita Keller,info@light-on-yoga.org,https://www.iyengar-yoga.org
HC_033,Home - Reiki Wellness & Energy Healing,skiit8@aol.com,https://reiki-wellness.com
HC_034,Home - Soul Sound Wellness,info@soulsoundwellness.ca,https://soulsoundwellness.com
HC_035,Home Page,dreamstone@reiki-therapy.wales,https://reiki-therapy.net
HC_036,Inner Peace Wellness Chesapeake,relax@innerpeacewellness.com,https://www.innerpeacewellness.com
HC_037,Innerbeing home,20innerbeing@innerbeing.net,https://energyhealingcenter.net
HC_038,Innerbeing home,innerbeing@innerbeing.net,https://energyhealingcenter.net
HC_039,Lavinia - Professional Psychic Reader,soulreadingsonline@gmail.com,https://www.psychic.org/profile.asp?member=100002
HC_040,"Life Force Practices | Chakra Balancing, Reiki Therapy - Washington, D.C.",info@lifeforcepractices.com,https://www.lifeforcepractices.com
HC_041,MMI Meditation & Mindfulness Teacher Training,info@mcleanmeditation.com,https://www.meditationteachertraining.com
HC_042,MMI Meditation & Mindfulness Teacher Training,hello@mcleanmeditation.com,https://www.meditationteachertraining.com
HC_043,"Massage Association for Massage & Bodywork Professionals, Students & Educators |",expectmore@abmp.com,http://www.abmp.com
HC_044,Massage Therapy Information | Powered by Associated Bodywork & Massage Professionals,webmaster@massagetherapy.com,https://www.massagetherapy.com
HC_045,"Massage Therapy, Deep Tissue, Myofascial, Active Release | Spirit of Healing - Massage & Reiki",andrewlanghorst@gmail.com,https://www.spiritofhealing.org
HC_046,Merle - Professional Psychic Reader,top10readers@live.com,https://www.psychic.org/profile.asp?member=100001
HC_047,"Miami Reiki Healing, Reiki Master Healer, Energy Healing Therapy",jshlackm@phinsights.com,https://www.reikimiami.com
HC_048,"Quit with Quinn | Addiction Cessation: Alcohol Addiction, Quit Smoking, Weight l",info@quitwithquinn.com,https://www.healingny.com
HC_049,Reiki,center@reiki.org,https://www.reiki.org
HC_050,Reiki Arts  Energy Therapies,paula@reikiarts.net,https://www.reikiarts.net
HC_051,Reiki Healing & Intuitive Chakra Balancing in Long Island NY & Virtually,parita01s@gmail.com,https://paritashahhealing.com
HC_052,Reiki Jin Kei Do.org,reikijinkeidonova@gmail.com,https://reikijinkeido.org
HC_053,"Reiki Services | Arlington, VA | Radiant Healing",wendy@radiantyou.com,https://www.reikidc.com
HC_054,Reiki-Arts with Carmen Grammer,carmen@reiki-arts.com,https://reiki-arts.com
HC_055,Silver Spring Craniosacral Therapy,randy@randygoldberg.org,https://www.healingdc.com
HC_056,Sonia - Professional Psychic Reader,info@coastalread.com.au,https://www.psychic.org/profile.asp?member=100003
HC_057,Soul Coach Maria,info@soulcoachmaria.com,
HC_058,Soul Coach Maria,hello@soulcoachmaria.com,
HC_059,Soul Healing NYC,soulhealing.nyc@gmail.com,https://www.soulhealingnyc.com
HC_060,Soul Healing Practice | Crystal Company & Reiki Practice,hello@soulhealingpractice.com,https://www.soulhealingpractice.com
HC_061,Soul Healing Studio | A Sanctuary for Healing and Spiritual Transformation,behnaz.soulhealingstudio@gmail.com,https://www.soulhealingstudio.com
HC_062,Soul Healing Studio | A Sanctuary for Healing and Spiritual Transformation,contactus@soulhealingstudio.com,https://www.soulhealingstudio.com
HC_063,"Soul Reiki, geïnspireerd werken met universele energieën",info@soul-reiki.com,https://soul-reiki.com
HC_064,Soul Shepherding,%20contact@soulshepherding.org,https://www.soulshepherding.org
HC_065,Soul Sound Sanctuary by Tonia,soulsoundsanctuary@yahoo.com,https://soul-sound-sanctuary.com
HC_066,Souly Holistic,cathy@soulyholistic.com,https://soulyholistic.com
HC_067,Sound Therapy for Mind & Body | Transcend Sound Healing,eryn@transcendsoundhealing.com,https://transcendsoundhealing.com
HC_068,Sound Therapy for Mind & Body | Transcend Sound Healing,info@transcendsoundhealing.com,https://transcendsoundhealing.com
HC_069,Spiritual Coaches,dave@lab6.com,https://www.spiritualcoaches.org
HC_070,Spiritual Coaches,info@indiantypefoundry.com,https://www.spiritualcoaches.org
